DATE,DEW_temp,DEW_tempQC
2023-02-14 20:33:00,250,5
2023-02-14 20:44:00,244,5
2023-02-14 20:54:00,250,5
2023-02-14 21:52:00,250,5
2023-02-14 21:54:00,250,5
2023-02-14 22:29:00,256,5
2023-02-14 22:41:00,256,5
2023-02-14 22:52:00,260,5
2023-02-14 22:54:00,261,5
2023-02-14 23:40:00,256,5
2023-02-14 23:54:00,256,5
2023-02-15 00:30:00,250,5
2023-02-15 00:35:00,250,5
2023-02-15 00:40:00,250,5
2023-02-15 00:54:00,250,5
2023-02-15 01:05:00,256,5
2023-02-15 01:22:00,261,5
2023-02-15 01:29:00,261,5
2023-02-15 01:52:00,260,5
2023-02-15 01:54:00,256,5
2023-02-15 02:48:00,250,5
2023-02-15 02:54:00,250,5
2023-02-15 03:09:00,256,5
2023-02-15 03:12:00,256,5
2023-02-15 03:29:00,256,5
2023-02-15 03:51:00,260,5
2023-02-15 03:54:00,256,5
2023-02-15 04:54:00,250,5
2023-02-15 05:54:00,256,5
2023-02-15 06:17:00,244,5
2023-02-15 06:28:00,250,5
2023-02-15 06:47:00,256,5
2023-02-15 06:52:00,260,5
2023-02-15 06:54:00,256,5
2023-02-15 07:54:00,244,5
2023-02-15 08:49:00,260,5
2023-02-15 08:54:00,256,5
2023-02-15 09:54:00,256,5
2023-02-15 10:52:00,260,5
2023-02-15 10:54:00,256,5
2023-02-15 12:54:00,244,5
2023-02-15 13:54:00,250,5
2023-02-15 14:54:00,256,5
2023-02-15 16:54:00,250,5
2023-02-15 17:54:00,250,5
2023-02-15 18:52:00,250,5
2023-02-15 18:54:00,250,5
2023-02-15 19:08:00,250,5
2023-02-15 19:54:00,250,5
2023-02-15 20:54:00,250,5
2023-02-15 21:11:00,250,5
2023-02-15 21:18:00,250,5
2023-02-15 21:38:00,244,5
2023-02-15 21:54:00,244,5
2023-02-15 22:05:00,244,5
2023-02-15 22:07:00,244,5
2023-02-15 22:36:00,244,5
2023-02-15 22:54:00,250,5
2023-02-15 23:39:00,256,5
2023-02-15 23:54:00,256,5
2023-02-16 03:19:00,250,5
2023-02-16 03:54:00,250,5
2023-02-16 04:52:00,240,5
2023-02-16 04:54:00,244,5
2023-02-16 11:54:00,239,5
2023-02-16 12:54:00,244,5
2023-02-16 13:54:00,239,5
2023-02-16 14:54:00,239,5
2023-02-16 15:54:00,239,5
2023-02-16 17:54:00,244,5
2023-02-16 19:54:00,239,5
2023-02-17 00:54:00,244,5
2023-02-17 02:54:00,244,5
2023-02-17 03:54:00,244,5
